,Labels,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0,0.5819792905271503,0.7381309948474039,1.4167657550535078,-6.272003963535473,1.0,0.06337996432818073,0.13580715720967101,0.029960975398335313,0.19499346016646849,0.532930301228696,125.72657292905272
1,1,0.5494065843621398,0.45491116348671906,5.781144781144781,-11.065214365881033,0.0,0.054120089786756455,0.5359757246876169,0.5117632107519641,0.1521880658436214,0.3058503928170595,116.73781780770669
2,2,0.4996281967974008,0.3529995915525644,4.91320491993502,-10.6472042237178,1.0,0.04115437456486424,0.7374780227430959,0.02024870254119285,0.15859600835460666,0.33907444882803434,115.2541058250174
3,3,0.6156578208368436,0.7492641112047178,5.985397360292053,-6.112916877281663,0.0,0.07589337264813255,0.14813250464476269,0.03721933140269588,0.19032117382757652,0.5442594355518113,123.81850322942994
4,4,0.5701833922261484,0.5028773801110551,4.954568399798082,-11.669844522968198,1.0,0.05721564866229177,0.4273684873195356,0.832306410903584,0.151942200908632,0.3127905300353357,117.50068753154972
5,5,0.5827588810960691,0.7397511009623225,7.977980753547545,-6.101461588647855,1.0,0.06500419181210243,0.1393401388908824,0.024215350407763823,0.1880087359321481,0.5352792529766759,125.51984717011906
